순위,곡명,가수,앨범,좋아요
1,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),102037
2,After LIKE,IVE (아이브),After LIKE,177084
3,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans',144906
4,Shut Down,BLACKPINK,BORN PINK,89801
5,Attention,NewJeans,NewJeans 1st EP 'New Jeans',171159
6,Pink Venom,BLACKPINK,BORN PINK,139965
7,LOVE DIVE,IVE (아이브),LOVE DIVE,206062
8,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour,59452
9,딱 10CM만,10CM,딱 10CM만,62677
10,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집,116909
11,Cookie,NewJeans,NewJeans 1st EP 'New Jeans',89229
12,Monologue,테이,Monologue,30424
13,그라데이션,10CM,5.3,107714
14,FOREVER 1,소녀시대 (GIRLS' GENERATION),FOREVER 1 - The 7th Album,97579
15,우린 그렇게 사랑해서,강민경 (다비치),우린 그렇게 사랑해서,36378
16,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집,116874
17,LAW (Prod. Czaer),윤미래,스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),32820
18,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),161410
19,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자,183845
20,TOMBOY,(여자)아이들,I NEVER DIE,216734
21,자격지심 (Feat. ZICO),BE'O (비오),FIVE SENSES,32175
22,내가 아니라도,주호,내가 아니라도,74700
23,SNEAKERS,ITZY (있지),CHECKMATE,71176
24,나의 X에게,경서,나의 X에게,126143
25,해요 (2022),#안녕,해요 (2022),45977
26,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,177961
27,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,PROTOTYPE RESEARCH #0063,74455
28,ELEVEN,IVE (아이브),ELEVEN,161583
29,That's Hilarious,Charlie Puth,CHARLIE,121207
30,That That (prod. & feat. SUGA of BTS),싸이 (PSY),싸다9,123235
31,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS,79430
32,POP!,나연 (TWICE),IM NAYEON,85858
33,취중고백,김민석 (멜로망스),취중고백,146368
34,LOVE me,BE'O (비오),LOVE me,119846
35,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,236425
36,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album,73558
37,Love story,볼빨간사춘기,Seoul,94354
38,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),153609
39,I Don't Think That I Like Her,Charlie Puth,CHARLIE,47160
40,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life),284933
41,우리들의 블루스,임영웅,IM HERO,78479
42,사랑한다고 말해줘,탑현,사랑한다고 말해줘,45681
43,새벽에 걸려온 너의 전화는,한동근,미련을 말하는,33266
44,STAY,The Kid LAROI,Stay,237823
45,통화연결음,보라미유,통화연결음,31153
46,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,405907
47,Girls,aespa,Girls - The 2nd Mini Album,62857
48,스티커 사진,21학번,스티커 사진,37771
49,신호등,이무진,신호등,290484
50,strawberry moon,아이유,strawberry moon,210329
51,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),205725
52,Talk that Talk,TWICE (트와이스),BETWEEN 1&2,36011
53,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’,141506
54,다시 만날 수 있을까,임영웅,IM HERO,62169
55,주저하는 연인들을 위해,잔나비,전설,345370
56,드라마,아이유,조각집,163252
57,INVU,태연 (TAEYEON),INVU - The 3rd Album,128207
58,내 손을 잡아,아이유,최고의 사랑 OST Part.4,201853
59,DICE,NMIXX,ENTWURF,33553
60,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,Left and Right (Feat. Jung Kook of BTS),92123
61,Dynamite,방탄소년단,Dynamite (DayTime Version),441506
62,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),28406
63,I Ain't Worried,OneRepublic,탑건 : 매버릭 (Top Gun: Maverick) (영화 OST),40387
64,GANADARA (Feat. 아이유),박재범,GANADARA,124916
65,Next Level,aespa,Next Level,252714
66,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy),LOVE & HATE,50370
67,Off My Face,Justin Bieber,Justice (The Complete Edition),141087
68,아무래도 난,주시크 (Joosiq),아무래도 난,76884
69,너를 생각해,주시크 (Joosiq),너를 생각해,141130
70,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,160338
71,듣고 싶을까,MSG워너비(M.O.M),듣고 싶을까,84591
72,SMILEY (Feat. BIBI),YENA (최예나),ˣ‿ˣ (SMiLEY),132790
73,Weekend,태연 (TAEYEON),Weekend,186192
74,MY BAG,(여자)아이들,I NEVER DIE,77493
75,열이올라요 (Heart Burn),선미,열이올라요 (Heart Burn),37802
76,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2,214398
77,Butter,방탄소년단,Butter,278086
78,무지개,임영웅,IM HERO,51283
79,Celebrity,아이유,IU 5th Album 'LILAC',326182
80,잠수이별 (Prod. 코드 쿤스트),우원재,잠수이별,34701
81,OHAYO MY NIGHT,디핵 (D-Hack),OHAYO MY NIGHT,196837
82,고백하는 취한밤에 (Prod. 2soo),임재현,고백하는 취한밤에,32988
83,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,182236
84,봄날,방탄소년단,YOU NEVER WALK ALONE,551223
85,Permission to Dance,방탄소년단,Butter / Permission to Dance,213492
86,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',52161
87,Yet To Come,방탄소년단,Proof,115705
88,아버지,임영웅,IM HERO,43662
89,질주 (2 Baddies),NCT 127,질주 (2 Baddies) - The 4th Album,47325
90,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2,62947
91,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,392354
92,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Episode 3,185270
93,A bientot,임영웅,IM HERO,42099
94,Ready For Love,BLACKPINK,BORN PINK,31177
95,HOT,세븐틴,SEVENTEEN 4th Album 'Face the Sun',93752
96,손이 참 곱던 그대,임영웅,IM HERO,41006
97,인생찬가,임영웅,IM HERO,41210
98,사랑해 진짜,임영웅,IM HERO,41713
99,가을밤에 든 생각,잔나비,잔나비 소곡집 l,109299
100,팡파레,다비치,Season Note,37532
